timestamp_resource,x_resource,z_resource,rotation_resource,signaling_resource,score_resource,time,timestamp_1,x_1,z_1,rotation_1,signaling_1,score_1,timestamp_2,x_2,z_2,rotation_2,signaling_2,score_2,timestamp_3,x_3,z_3,rotation_3,signaling_3,score_3
29999,0,0,0,0,0,30.0,,,,,,,,,,,,,,,,,,
30099,0,0,351,0,0,30.1,,,,,,,,,,,,,,,,,,
30199,0,0,341,0,0,30.2,,,,,,,,,,,,,,,,,,
30299,0,0,331,0,0,30.3,,,,,,,,,,,,,,,,,,
30399,0,0,321,0,0,30.4,,,,,,,,,,,,,,,,,,
30499,0,0,314,0,0,30.5,,,,,,,,,,,,,,,,,,
30599,-1,0,310,0,0,30.6,,,,,,,,,,,,,,,,,,
30699,-1,0,307,0,0,30.7,,,,,,,,,,,,,,,,,,
30799,-1,1,305,0,0,30.8,,,,,,,,,,,,,,,,,,
30899,-1,1,304,0,0,30.9,,,,,,,,,,,,,,,,,,
30999,-2,1,304,0,0,31.0,,,,,,,,,,,,,,,,,,
31099,-2,1,303,0,0,31.1,31079.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31199,-2,1,303,0,0,31.2,31179.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31299,-3,2,303,0,0,31.3,31279.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31399,-3,2,303,0,0,31.4,31379.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31499,-3,2,303,0,0,31.5,31479.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31599,-3,2,303,0,0,31.6,31579.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31699,-4,2,303,0,0,31.7,31679.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31799,-4,2,303,0,0,31.8,31779.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31899,-4,3,303,0,0,31.9,31879.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
31999,-5,3,303,0,0,32.0,31979.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32099,-5,3,303,0,0,32.1,32079.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32199,-5,3,303,0,0,32.2,32179.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32299,-5,3,303,0,0,32.3,32279.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32399,-6,4,303,0,0,32.4,32379.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32499,-6,4,303,0,0,32.5,32479.0,0.0,-125.0,0.0,0.0,0.0,,,,,,,,,,,,
32599,-6,4,303,0,0,32.6,32579.0,0.0,-125.0,0.0,0.0,0.0,32619.0,120.0,0.0,0.0,0.0,0.0,,,,,,
32699,-7,4,303,0,0,32.7,32679.0,0.0,-125.0,0.0,0.0,0.0,32719.0,120.0,0.0,0.0,0.0,0.0,,,,,,
32799,-7,4,303,0,0,32.8,32779.0,0.0,-125.0,0.0,0.0,0.0,32819.0,120.0,0.0,0.0,0.0,0.0,,,,,,
32899,-7,5,303,0,0,32.9,32879.0,0.0,-125.0,0.0,0.0,0.0,32919.0,120.0,0.0,0.0,0.0,0.0,,,,,,
32999,-8,5,303,0,0,33.0,32979.0,0.0,-125.0,0.0,0.0,0.0,33019.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33099,-8,5,305,0,0,33.1,33079.0,0.0,-125.0,0.0,0.0,0.0,33119.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33199,-8,5,311,0,0,33.2,33179.0,0.0,-125.0,0.0,0.0,0.0,33219.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33299,-8,5,320,0,0,33.3,33279.0,0.0,-125.0,0.0,0.0,0.0,33319.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33399,-8,6,331,0,0,33.4,33379.0,0.0,-125.0,0.0,0.0,0.0,33419.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33499,-8,6,339,0,0,33.5,33479.0,0.0,-125.0,0.0,0.0,0.0,33519.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33599,-8,6,345,0,0,33.6,33579.0,0.0,-125.0,0.0,0.0,0.0,33619.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33699,-8,7,348,0,0,33.7,33679.0,0.0,-125.0,0.0,0.0,0.0,33719.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33799,-8,7,350,0,0,33.8,33779.0,0.0,-125.0,0.0,0.0,0.0,33819.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33899,-8,8,352,0,0,33.9,33879.0,0.0,-125.0,0.0,0.0,0.0,33919.0,120.0,0.0,0.0,0.0,0.0,,,,,,
33999,-9,8,352,0,0,34.0,33979.0,0.0,-125.0,0.0,0.0,0.0,34019.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34099,-9,8,353,0,0,34.1,34079.0,0.0,-125.0,0.0,0.0,0.0,34119.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34199,-9,9,353,0,0,34.2,34179.0,0.0,-125.0,0.0,0.0,0.0,34219.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34299,-9,9,353,0,0,34.3,34279.0,0.0,-125.0,0.0,0.0,0.0,34319.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34399,-9,9,353,0,0,34.4,34379.0,0.0,-125.0,0.0,0.0,0.0,34419.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34499,-9,10,353,0,0,34.5,34479.0,0.0,-125.0,0.0,0.0,0.0,34519.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34599,-9,10,354,0,0,34.6,34579.0,0.0,-125.0,0.0,0.0,0.0,34619.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34699,-9,10,354,0,0,34.7,34679.0,0.0,-125.0,0.0,0.0,0.0,34719.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34799,-9,11,354,0,0,34.8,34779.0,0.0,-125.0,0.0,0.0,0.0,34819.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34899,-9,11,354,0,0,34.9,34879.0,0.0,-125.0,0.0,0.0,0.0,34919.0,120.0,0.0,0.0,0.0,0.0,,,,,,
34999,-9,11,354,0,0,35.0,34979.0,0.0,-125.0,0.0,0.0,0.0,35019.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35099,-9,12,354,0,0,35.1,35079.0,0.0,-125.0,0.0,0.0,0.0,35119.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35199,-9,12,354,0,0,35.2,35179.0,0.0,-125.0,0.0,0.0,0.0,35219.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35299,-9,12,354,0,0,35.3,35279.0,0.0,-125.0,0.0,0.0,0.0,35319.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35399,-9,13,354,0,0,35.4,35379.0,0.0,-125.0,0.0,0.0,0.0,35419.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35499,-9,13,354,0,0,35.5,35479.0,0.0,-125.0,0.0,0.0,0.0,35519.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35599,-9,13,354,0,0,35.6,35579.0,0.0,-125.0,0.0,0.0,0.0,35619.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35699,-9,14,354,0,0,35.7,35679.0,0.0,-125.0,0.0,0.0,0.0,35719.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35799,-9,14,354,0,0,35.8,35779.0,0.0,-125.0,0.0,0.0,0.0,35819.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35899,-9,15,354,0,0,35.9,35879.0,0.0,-125.0,0.0,0.0,0.0,35919.0,120.0,0.0,0.0,0.0,0.0,,,,,,
35999,-9,15,354,0,0,36.0,35979.0,0.0,-125.0,0.0,0.0,0.0,36019.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36099,-9,15,352,0,0,36.1,36079.0,0.0,-125.0,0.0,0.0,0.0,36119.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36199,-9,15,348,0,0,36.2,36179.0,0.0,-125.0,0.0,0.0,0.0,36219.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36299,-9,16,341,0,0,36.3,36279.0,0.0,-125.0,0.0,0.0,0.0,36319.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36399,-10,16,330,0,0,36.4,36379.0,0.0,-125.0,0.0,0.0,0.0,36419.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36499,-10,16,318,0,0,36.5,36479.0,0.0,-125.0,0.0,0.0,0.0,36519.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36599,-10,16,306,0,0,36.6,36579.0,0.0,-125.0,0.0,0.0,0.0,36619.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36699,-10,16,294,0,0,36.7,36679.0,0.0,-125.0,0.0,0.0,0.0,36719.0,120.0,0.0,0.0,0.0,0.0,,,,,,
36799,-11,16,282,0,0,36.8,36779.0,0.0,-125.0,0.0,0.0,0.0,36819.0,120.0,0.0,0.0,0.0,0.0,36819.0,0.0,120.0,0.0,0.0,0.0
36899,-11,16,270,0,0,36.9,36879.0,0.0,-125.0,0.0,0.0,0.0,36919.0,120.0,0.0,0.0,0.0,0.0,36919.0,0.0,120.0,0.0,0.0,0.0
36999,-11,15,260,0,0,37.0,36979.0,0.0,-125.0,0.0,0.0,0.0,37019.0,120.0,0.0,0.0,0.0,0.0,37019.0,0.0,120.0,0.0,0.0,0.0
37099,-12,15,253,0,0,37.1,37079.0,0.0,-125.0,0.0,0.0,0.0,37119.0,120.0,0.0,0.0,0.0,0.0,37119.0,0.0,120.0,0.0,0.0,0.0
37199,-12,15,249,0,0,37.2,37179.0,0.0,-125.0,0.0,0.0,0.0,37219.0,120.0,0.0,0.0,0.0,0.0,37219.0,0.0,120.0,0.0,0.0,0.0
37299,-12,15,247,0,0,37.3,37279.0,0.0,-125.0,0.0,0.0,0.0,37319.0,120.0,0.0,0.0,0.0,0.0,37319.0,0.0,120.0,0.0,0.0,0.0
